ID,Tựa đề,Link truyện,Phương thức dịch,Thể loại,Manga,Anime,CD,Ngôn ngữ gốc,Link ảnh,Tác giả,Họa sĩ,Kiểu trình bày,Tình trạng,Số like,Số từ,Số lượt đánh giá,Số lượt xem,Số lượt bình luận,Fname,ID người dịch,Người dịch,Link người dịch,ID nhóm dịch,Nhóm dịch,Link nhóm dịch,ID người tham gia,Người tham gia,Link người tham gia,Số tập,Số chương,Ngày bắt đầu,Tháng bắt đầu,Năm bắt đầu,Ngày cập nhật cuối,Tháng cập nhật cuối,Năm cập nhật cuối
202,Tsurugi no Joou to Rakuin no Ko,https://ln.hako.vn/truyen/202-tsurugi-no-joou-to-rakuin-no-ko,Truyện dịch,"['Action', 'Fantasy', 'Drama', 'Romance', 'Seinen', 'Tragedy', 'Super Power', 'Supernatural', 'Adventure', 'Historical', 'Military', 'Mystery', '']",Not sure,Not sure,Not sure,japanese,https://i.docln.net/lightnovel/covers/s202-22127517-eda2-459f-bd45-2f66d3960344-m.jpg,Hikaru Sugii,Yu Jin,light novel,Đang tiến hành,636.0,249286,52.0,124017,180,"剣の女王と烙印の仔
The Sword Queen and the Branded Child
Nữ Vương Đao Kiếm và Đứa Trẻ Bị Nguyền Rủa",12377,Dr Karlken,https://ln.hako.vn/thanh-vien/12377,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,8,43,11,11,2016,11,7,2017
205,Harmony,https://ln.hako.vn/truyen/205-harmony,Truyện dịch,"['Action', 'Drama', 'Mystery', 'Science Fiction']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-KohLgmPGUq4/WO2v28XUozI/AAAAAAAAJ90/7zAU4qfpbPw/w215/series_205.jpg,Keikaku Itou,Minato Fumi,light novel,Đã hoàn thành,76.0,85882,11.0,26622,3,NOT FOUND,578,perfectstrong,https://ln.hako.vn/thanh-vien/578,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,1,7,11,11,2016,4,4,2018
206,Seiken Tsukai no World Break,https://ln.hako.vn/truyen/206-seiken-tsukai-no-world-break,Truyện dịch,"['Action', 'Fantasy', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://2.bp.blogspot.com/-TJ237Sh9i7A/WO2v3M8A3jI/AAAAAAAAJ94/5VzYp1rjeRA/w215/series_206.jpg,Akamitsu Awamura,Refeia,light novel,Đang tiến hành,201.0,89562,11.0,46205,3,"聖剣使いの禁呪詠唱〈ワールドブレイク〉
Seiken Tsukai no Kinju Eishou
World Break - Aria of Curse for a Holy Swordsman",1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,1,Hako Translation,https://ln.hako.vn/nhom-dich/1-hako-translation,NOT FOUND,NOT FOUND,NOT FOUND,18,13,11,11,2016,5,12,2016
207,The New Gate,https://ln.hako.vn/truyen/207-the-new-gate,Truyện dịch,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Harem', 'Super Power', 'Suspense', '']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-Fn-pl7zGxGQ/WO2v3GJypUI/AAAAAAAAJ98/enqLYX-BJFQ/w215/series_207.jpg,Kazanami Shinogi,NOT FOUND,web novel,Đang tiến hành,617.0,222661,20.0,279730,33,NOT FOUND,75,mikasa,https://ln.hako.vn/thanh-vien/75,27,MidNight Owls Team,https://ln.hako.vn/nhom-dich/27-midnight-owls-team,NOT FOUND,NOT FOUND,NOT FOUND,4,16,11,11,2016,5,9,2017
208,Rokka no Yuusha,https://ln.hako.vn/truyen/208-rokka-no-yuusha,Truyện dịch,"['Action', 'Adventure', 'Fantasy', 'Mystery']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-ub5WvSF9_fM/WO2v3dM1cFI/AAAAAAAAJ-A/wheqdD6cEPA/w215/series_208.jpg,Ishio Yamagata,Miyagi,light novel,Đang tiến hành,108.0,86118,7.0,22200,2,NOT FOUND,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,1,8,11,11,2016,11,11,2016
209,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,https://ln.hako.vn/truyen/209-dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka,Truyện dịch,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Romance']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-PpV7_GUMJzQ/XBXm6vJfL4I/AAAAAAAB7QQ/ZharkZvSfq8E5ecnsk-5u_UIogGiKCp8gCHMYCw/w215/default.jpg,Fujino Omori,Suzuhito Yasuda,light novel,Tạm ngưng,444.0,173167,22.0,146786,40,"Is It Wrong to Try to Pick Up Girls in a Dungeon?
DanMachi
Is It Wrong That I Want to Meet You in a Dungeon
ダンジョンに出会いを求めるのは間違っているだろうか",13,kysido22,https://ln.hako.vn/thanh-vien/13,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,14,30,11,11,2016,16,12,2018
210,Unlimited Fafnir,https://ln.hako.vn/truyen/210-unlimited-fafnir,Truyện dịch,"['Fantasy', 'Harem', 'Action', 'Adventure', 'Ecchi', 'Supernatural']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-vr6tBTFGBjQ/WO2v3iL85ZI/AAAAAAAAJ-I/8XHcLgrMddM/w215/series_210.jpg,Tsukasa,Korie Riko,light novel,Đang tiến hành,320.0,431945,11.0,111320,21,"銃皇無尽のファフニール
Juuou Mujin no Fafnir
Anh nỡ quên sao?.",1598,Shiratori Kanae,https://ln.hako.vn/thanh-vien/1598,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,16,61,23,11,2016,19,7,2018
212,Legendary Moonlight Sculptor,https://ln.hako.vn/truyen/212-legendary-moonlight-sculptor,Truyện dịch,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'School Life', 'Science Fiction', 'Romance', '']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-gQyeC2WwgFU/WO2v35DNLFI/AAAAAAAAJ-Q/b12bMi08MPY/w215/series_212.jpg,Nam Hi-sung,NOT FOUND,web novel,Đang tiến hành,1175.0,2725961,145.0,2673987,4531,NOT FOUND,13,kysido22,https://ln.hako.vn/thanh-vien/13,42,Đéo cần tên,https://ln.hako.vn/nhom-dich/42-deo-can-ten,NOT FOUND,NOT FOUND,NOT FOUND,45,438,11,11,2016,12,7,2017
214,Konjiki no Word Master,https://ln.hako.vn/truyen/214-konjiki-no-word-master,Truyện dịch,"['Action', 'Fantasy', 'Harem']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-yHhrIQrGj0w/WO2v4LVhBPI/AAAAAAAAJ-Y/KXgcmYVqNGU/w215/series_214.jpg,Tomoto Sui,Sumaki Shungo,light novel,Đang tiến hành,4295.0,551558,432.0,3031213,4571,"Konjiki no Word Master: Yuusha Yonin ni Makikomareta Unique Cheat, The Unique Cheat of The Man Dragged in By The Four Heroes
Ăn một chữ, trả 1 loli, mua 3 thùng phi mang đi mà đựng.",9,Meiyaku,https://ln.hako.vn/thanh-vien/9,36,Hiiro Translation Team,https://ln.hako.vn/nhom-dich/36-hiiro-translation-team,11567,Silverlord,https://ln.hako.vn/thanh-vien/11567,5,244,11,11,2016,2,6,2020
215,Rakudai Kishi no Eiyuutan,https://ln.hako.vn/truyen/215-rakudai-kishi-no-eiyuutan,Truyện dịch,"['Action', 'Fantasy', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://1.bp.blogspot.com/-MTdAC1z2OQ8/WO2v4Q6k5OI/AAAAAAAAJ-c/6XnWkoqx5ss/w215/series_215.jpg,Misora Riku,Won,light novel,Đang tiến hành,259.0,129802,6.0,99321,53,Rakudai Kishi no Calvary,13,kysido22,https://ln.hako.vn/thanh-vien/13,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,2,14,11,11,2016,11,11,2016
